Year,Month,Day,HourOfDay,DNI,DHI,GHI,Windfarm1,Price [SEK/MWh]
2019,1,1,0,0,0,0,5938.939,290
2019,1,1,1,0,0,0,5938.753,103
2019,1,1,2,0,0,0,5938.547,102
2019,1,1,3,0,0,0,5939.249,46
2019,1,1,4,0,0,0,5937.25,49
2019,1,1,5,0,0,0,5939.717,82
2019,1,1,6,0,0,0,5939.109,261
2019,1,1,7,0,0,0,5938.882,401
2019,1,1,8,37.3,4.3,4.8,5938.817,385
2019,1,1,9,418,21.6,60.3,5938.056,220
2019,1,1,10,542,26.1,106.8,5938.749,289
2019,1,1,11,597.1,32.2,135.9,5938.934,197
2019,1,1,12,572.5,32,126.2,5938.728,197
2019,1,1,13,0,31.9,31.9,5936.25,166
2019,1,1,14,0,12.2,12.2,5933.004,219
2019,1,1,15,0,0,0,5898.28,334
2019,1,1,16,0,0,0,5889.354,300
2019,1,1,17,0,0,0,4003.058,309
2019,1,1,18,0,0,0,4392.876,308
2019,1,1,19,0,0,0,5132.124,302
2019,1,1,20,0,0,0,5740.386,378
2019,1,1,21,0,0,0,5401.263,339
2019,1,1,22,0,0,0,5775.663,221
2019,1,1,23,0,0,0,5795.056,41
2019,1,2,0,0,0,0,5350.271,98
2019,1,2,1,0,0,0,3929.495,64
2019,1,2,2,0,0,0,3853.18,44
2019,1,2,3,0,0,0,3917.709,89
2019,1,2,4,0,0,0,3906.492,231
2019,1,2,5,0,0,0,3649.943,441
2019,1,2,6,0,0,0,3719.036,455
2019,1,2,7,0,0,0,3157.443,506
2019,1,2,8,164.2,3.7,5.9,3230.866,509
2019,1,2,9,534.4,18.7,68.6,3510.606,517
2019,1,2,10,657.2,22.1,120.7,2645.29,510
2019,1,2,11,693.2,26.4,147.7,2517.923,512
2019,1,2,12,674,26.1,138.2,3584.9,509
2019,1,2,13,586.4,23.1,96,3117.869,509
2019,1,2,14,358.3,13.2,32.4,2664.075,519
2019,1,2,15,0,0,0,2528.443,534
2019,1,2,16,0,0,0,1608.917,557
2019,1,2,17,0,0,0,1919.297,567
2019,1,2,18,0,0,0,2175.324,565
2019,1,2,19,0,0,0,2202.4,560
2019,1,2,20,0,0,0,1174.086,549
2019,1,2,21,0,0,0,1581.657,537
2019,1,2,22,0,0,0,800.417,531
2019,1,2,23,0,0,0,1012.565,517
2019,1,3,0,0,0,0,749.852,508
2019,1,3,1,0,0,0,1068.266,499
2019,1,3,2,0,0,0,1440.775,493
2019,1,3,3,0,0,0,2242.643,494
2019,1,3,4,0,0,0,1328.367,498
2019,1,3,5,0,0,0,1187.299,506
2019,1,3,6,0,0,0,1046.913,522
2019,1,3,7,0,0,0,1137.778,550
2019,1,3,8,21.3,4.3,4.6,1100.45,600
2019,1,3,9,45.6,31.3,35.6,1114.038,603
2019,1,3,10,19.2,48.5,51.4,251.859,594
2019,1,3,11,113.2,64.7,84.9,196.83,627
2019,1,3,12,216.8,55,91.6,158.143,633
2019,1,3,13,561.3,19.2,90.2,398.003,644
2019,1,3,14,7.8,16.2,16.6,263.249,650
2019,1,3,15,0,0,0,37.602,675
2019,1,3,16,0,0,0,0,698
2019,1,3,17,0,0,0,0,710
2019,1,3,18,0,0,0,65.786,670
2019,1,3,19,0,0,0,150.68,628
2019,1,3,20,0,0,0,246.859,572
2019,1,3,21,0,0,0,330.762,555
2019,1,3,22,0,0,0,400.288,531
2019,1,3,23,0,0,0,296.203,510
2019,1,4,0,0,0,0,535.187,513
2019,1,4,1,0,0,0,453.548,493
2019,1,4,2,0,0,0,128.863,484
2019,1,4,3,0,0,0,72.185,484
2019,1,4,4,0,0,0,174.364,488
2019,1,4,5,0,0,0,88.591,499
2019,1,4,6,0,0,0,0,523
2019,1,4,7,0,0,0,147.317,538
2019,1,4,8,0,2.3,2.3,249.206,560
2019,1,4,9,77.3,33.2,40.4,451.459,557
2019,1,4,10,0,32.1,32.1,561.323,554
2019,1,4,11,0.1,47,47.1,283.192,545
2019,1,4,12,574.7,26.7,124.3,479.486,532
2019,1,4,13,548.6,22,92.6,862.239,530
2019,1,4,14,343.4,13.2,33.1,1014.382,529
2019,1,4,15,0,0,0,1768.782,531
2019,1,4,16,0,0,0,2213.576,541
2019,1,4,17,0,0,0,2580.121,548
2019,1,4,18,0,0,0,1904.128,543
2019,1,4,19,0,0,0,1051.973,532
2019,1,4,20,0,0,0,842.357,525
2019,1,4,21,0,0,0,479.167,519
2019,1,4,22,0,0,0,362.497,512
2019,1,4,23,0,0,0,650.7,504
2019,1,5,0,0,0,0,713.285,496
2019,1,5,1,0,0,0,593.938,487
2019,1,5,2,0,0,0,1369.259,483
2019,1,5,3,0,0,0,1158.725,481
2019,1,5,4,0,0,0,939.126,481
2019,1,5,5,0,0,0,1557.626,485
2019,1,5,6,0,0,0,1658.244,487
2019,1,5,7,0,0,0,1045.55,494
2019,1,5,8,5.8,4.5,4.6,713.334,512
2019,1,5,9,7,27.9,28.5,764.871,519
2019,1,5,10,0,33.9,33.9,163.543,522
2019,1,5,11,657.5,18.3,136.9,46.162,522
2019,1,5,12,679.7,22,138.9,110.005,526
2019,1,5,13,513.1,17.2,84,124.827,530
2019,1,5,14,291.4,12.3,30.2,329.289,532
2019,1,5,15,0,0,0,608.852,545
2019,1,5,16,0,0,0,674.082,566
2019,1,5,17,0,0,0,779.539,572
2019,1,5,18,0,0,0,936.351,566
2019,1,5,19,0,0,0,423.36,551
2019,1,5,20,0,0,0,610.034,540
2019,1,5,21,0,0,0,339.591,531
2019,1,5,22,0,0,0,88.744,524
2019,1,5,23,0,0,0,4.463,514
2019,1,6,0,0,0,0,0,513
2019,1,6,1,0,0,0,0,500
2019,1,6,2,0,0,0,0,498
2019,1,6,3,0,0,0,163.658,497
2019,1,6,4,0,0,0,0,488
2019,1,6,5,0,0,0,0,497
2019,1,6,6,0,0,0,89.446,504
2019,1,6,7,0,0,0,182.093,507
2019,1,6,8,0,3.6,3.6,14.778,515
2019,1,6,9,54.6,34.2,39.5,0,527
2019,1,6,10,66.4,58.2,68.6,0,534
2019,1,6,11,6.4,54.2,55.3,95.523,539
2019,1,6,12,0,44,44,245.17,540
2019,1,6,13,0.7,36.1,36.2,235.545,535
2019,1,6,14,8.2,19,19.5,389.492,526
2019,1,6,15,0,0,0,129.27,526
2019,1,6,16,0,0,0,274.684,544
2019,1,6,17,0,0,0,622.952,564
2019,1,6,18,0,0,0,477.783,554
2019,1,6,19,0,0,0,336.982,540
2019,1,6,20,0,0,0,48.034,530
2019,1,6,21,0,0,0,0,526
2019,1,6,22,0,0,0,0,518
2019,1,6,23,0,0,0,24.619,510
2019,1,7,0,0,0,0,20.937,496
2019,1,7,1,0,0,0,118.097,490
2019,1,7,2,0,0,0,141.966,488
2019,1,7,3,0,0,0,207.196,479
2019,1,7,4,0,0,0,282.019,491
2019,1,7,5,0,0,0,324.439,509
2019,1,7,6,0,0,0,268.414,538
2019,1,7,7,0,0,0,219.696,580
2019,1,7,8,0,2.1,2.1,473.099,591
2019,1,7,9,0,22.9,22.9,303.351,581
2019,1,7,10,0,34.2,34.2,528.116,574
2019,1,7,11,0,48.6,48.6,913.184,567
2019,1,7,12,0,45.4,45.4,1730.405,563
2019,1,7,13,0,29.2,29.2,2759.324,553
2019,1,7,14,0,13.7,13.7,3348.512,548
2019,1,7,15,0,0,0,3165.169,544
2019,1,7,16,0,0,0,3771.695,544
2019,1,7,17,0,0,0,4762.74,541
2019,1,7,18,0,0,0,5611.544,524
2019,1,7,19,0,0,0,5923.822,519
2019,1,7,20,0,0,0,5935.741,516
2019,1,7,21,0,0,0,5937.406,511
2019,1,7,22,0,0,0,5936.483,501
2019,1,7,23,0,0,0,5753.007,477
2019,1,8,0,0,0,0,5336.655,480
2019,1,8,1,0,0,0,5589.207,474
2019,1,8,2,0,0,0,5561.157,473
2019,1,8,3,0,0,0,5367.35,473
2019,1,8,4,0,0,0,3263.452,477
2019,1,8,5,0,0,0,930.09,489
2019,1,8,6,0,0,0,466.918,512
2019,1,8,7,0,0,0,4.564,524
2019,1,8,8,0,2.3,2.3,59.907,528
2019,1,8,9,0,22.9,22.9,199.959,526
2019,1,8,10,1.5,44.2,44.4,1095.031,526
2019,1,8,11,0,45.6,45.6,2867.925,523
2019,1,8,12,2,49.9,50.3,3290.854,520
2019,1,8,13,6.5,40.4,41.3,3691.91,517
2019,1,8,14,0,14.6,14.6,2788.773,518
2019,1,8,15,0,0,0,4727.862,518
2019,1,8,16,0,0,0,5393.529,523
2019,1,8,17,0,0,0,5481.923,522
2019,1,8,18,0,0,0,5608.524,517
2019,1,8,19,0,0,0,5742.456,511
2019,1,8,20,0,0,0,5364.048,508
2019,1,8,21,0,0,0,5251.277,506
2019,1,8,22,0,0,0,5738.879,501
2019,1,8,23,0,0,0,5285.73,475
2019,1,9,0,0,0,0,5767.288,465
2019,1,9,1,0,0,0,5411.343,451
2019,1,9,2,0,0,0,5398.26,446
2019,1,9,3,0,0,0,5650.901,447
2019,1,9,4,0,0,0,5187.5,463
2019,1,9,5,0,0,0,5622.942,488
2019,1,9,6,0,0,0,5409.537,503
2019,1,9,7,0,0,0,5603.786,516
2019,1,9,8,121,6,8.4,5541.339,518
2019,1,9,9,486.7,15.3,65.4,5061.635,518
2019,1,9,10,638.9,22.8,125.9,4594.569,519
2019,1,9,11,688.4,25.5,155.2,4127.8,518
2019,1,9,12,686.3,24.7,149.2,4686.531,516
2019,1,9,13,616,23,109.8,4450.296,515
2019,1,9,14,432.2,15.1,45.6,3441.566,517
2019,1,9,15,0,0,0,3035.363,523
2019,1,9,16,0,0,0,2942.764,546
2019,1,9,17,0,0,0,1520.661,555
2019,1,9,18,0,0,0,1714.918,551
2019,1,9,19,0,0,0,1702.919,551
2019,1,9,20,0,0,0,2047.418,539
2019,1,9,21,0,0,0,788.123,525
2019,1,9,22,0,0,0,557.134,518
2019,1,9,23,0,0,0,908.41,508
2019,1,10,0,0,0,0,284.437,516
2019,1,10,1,0,0,0,48.291,511
2019,1,10,2,0,0,0,359.066,506
2019,1,10,3,0,0,0,233.384,511
2019,1,10,4,0,0,0,107.211,510
2019,1,10,5,0,0,0,0,530
2019,1,10,6,0,0,0,0,578
